Family,Rails,Bore,CapArea_m2,MAstar,MechRGP,ElecRGP,AveMechPow_kW,AveElecPow_kW,AstarCapHits,ElapsedSec
DHD2,2,current,0.109448815485059,2,0.63352948263686,0.506765097930846,472.51240981561,377.966304957275,0,50.260155
DHD2,2,current,0.109448815485059,4,0.819412094584655,0.639978173567052,611.151326111505,477.322109403542,0,93.393335
DHD2,2,current,0.109448815485059,6,0.842338205097483,0.650934118140782,628.250564620543,485.493504601746,0,156.434092
DHD2,2,current,0.109448815485059,8,0.847903026251629,0.652160816921904,632.401037685813,486.408427131907,0,4802.698879
DHD2,2,current,0.109448815485059,10,0.846877497042046,0.647245777839067,631.636155716722,482.742588327211,0,40420.68815
DHD2,2,in18,0.164173,2,0.73907806800921,0.563827864373895,551.234896761818,420.526068980452,0,100.411127
DHD2,2,in18,0.164173,4,0.851133531026747,0.625296101338682,634.810481347153,466.371614564945,0,87.070782
DHD2,2,in18,0.164173,6,0.870639034475912,0.631919396334118,649.358490069763,471.311541064004,0,113.171129
DHD2,2,in18,0.164173,8,0.867064609264352,0.625854008318552,646.692536366409,466.787724594133,0,259.883402
DHD2,2,in18,0.164173,10,0.889223000107706,0.637657000243463,663.219177891364,475.590882632274,0,236.776883
DHD2,2,in18,0.164173,12,0.900215980869494,0.643286102274622,671.418196205696,479.789299026047,0,510.949439
DHD2,2,in18,0.164173,14,0.900353339065881,0.645349769725625,671.520643612109,481.328467300067,0,639.625245
DHD2,2,in18,0.164173,16,0.902846482030031,0.64671407526095,673.380132431954,482.34602262131,0,1328.983155
DHD2,2,in18,0.164173,18,0.89078793123157,0.641416110727622,664.386368048726,478.394582226869,0,2502.230874
DHD2,2,in18,0.164173,20,0.902074567786453,0.649537649389049,672.804406961554,484.451960627554,0,9927.275814
DHD3,3,current,0.109448815485059,2,0.787881172276433,0.642834318641569,587.634264172168,479.452340164589,0,77.505281
DHD3,3,current,0.109448815485059,4,0.871648535664211,0.70687664609557,650.111417679713,527.217748570745,0,353.602154
DHD3,3,in18,0.164173,2,0.837180496556594,0.666987433652448,624.403732928293,497.46672922008,0,93.1389
DHD3,3,in18,0.164173,4,0.935309772381696,0.742354078182414,697.592592901456,553.678280225328,0,312.257196
DHD3,3,in18,0.164173,6,0.948074614903011,0.746498682774779,707.113138773385,556.769497220503,0,290.39105
DHD3,3,in18,0.164173,8,0.953966028496855,0.751166767109178,711.507197946229,560.251146991384,0,959.66086
DHD3,3,in18,0.164173,10,0.950999142205009,0.749256315739599,709.294371819221,558.826253588289,0,1838.094332
DHD3,3,in18,0.164173,12,0.953468676087275,0.7512239416404,711.136252012347,560.293790114188,0,23636.775773
DHD4,4,in18,0.164173,2,0.891230572634871,0.717333393369568,664.716508258282,535.016821839924,0,122.690555
DHD4,4,in18,0.164173,4,0.945578197043838,0.754427214014274,705.251207401801,562.682922727836,0,432.787145
DHD4,4,in18,0.164173,6,0.954311643057457,0.760201064614145,711.764971535893,566.989298572422,0,1566.22419
