Variant,SeaStateIdx,Hs_m,Tp_s,Probability,MechRGP,ElecRGP,AveMechPow_kW,AveElecPow_kW,AveLoss_kW
EHA_elec,1,1.11845593108019,6.84990059642147,0.150945283585076,0.763154958200086,0.514718740247654,35.4309721721078,23.896831392132,11.5341407799758
EHA_elec,2,1.43904274533414,8.98585189644792,0.166149844953486,0.776810618792006,0.52776925771966,61.0854144122296,41.5017547931748,19.5836596190548
EHA_elec,3,2.02192164179104,6.96268656716418,0.214464339301791,0.762820473662542,0.513838533119022,116.750790315269,78.6437397885355,38.1070505267336
EHA_elec,4,2.2579006772009,10.9695259593679,0.132939881964589,0.800528007604502,0.55047251623732,138.853150310284,95.4805357372869,43.372614572997
EHA_elec,5,2.56283602150538,9.10954301075269,0.148844653396019,0.778163272207619,0.527067228157064,193.17551008475,130.842053698251,62.3334563864987
EHA_elec,6,2.86731391585761,13.1893203883495,0.0618185455636691,0.829044200423946,0.576235151063982,196.486857076248,136.570081198953,59.9167758772957
EHA_elec,7,3.65665236051502,10.8004291845494,0.0932279683905172,0.798468393920509,0.54306569146039,367.421517910216,249.895953553801,117.525564356415
EHA_elec,8,4.99525316455696,12.7246835443038,0.0316094828448535,0.81548226826758,0.549440044318815,608.220299609772,409.79503954529,198.425260064482
EHA_mech,1,1.11845593108019,6.84990059642147,0.150945283585076,1.01764268589317,0.0963367840131468,47.2460662118595,4.47262495885568,42.7734412530038
EHA_mech,2,1.43904274533414,8.98585189644792,0.166149844953486,1.02415802332127,0.124759805004933,80.5358677710618,9.81063364268431,70.7252341283775
EHA_mech,3,2.02192164179104,6.96268656716418,0.214464339301791,1.01740691941411,0.0908595758061126,155.715618569472,13.9061911017434,141.809427467728
EHA_mech,4,2.2579006772009,10.9695259593679,0.132939881964589,1.02784387125804,0.171265641144354,178.281531933367,29.7063607855091,148.575171147858
EHA_mech,5,2.56283602150538,9.10954301075269,0.148844653396019,1.02416750241088,0.112241743880063,254.244946731,27.863504872597,226.381441858403
EHA_mech,6,2.86731391585761,13.1893203883495,0.0618185455636691,1.02459101048802,0.211887283592127,242.832248674342,50.2181504751508,192.614098199191
EHA_mech,7,3.65665236051502,10.8004291845494,0.0932279683905172,1.01799406504403,0.146437424559278,468.437983832463,67.3843338322407,401.053650000222
EHA_mech,8,4.99525316455696,12.7246835443038,0.0316094828448535,0.963780263710181,0.231100950862013,718.827059228525,172.364617899056,546.462441329469
