Family,Rails,Pressure_MPa,MAstar,MechRGP,ElecRGP,AveMechPow_kW,AveElecPow_kW,AstarCapHits,ElapsedSec
DHD2,2,5,5,0.386059852312131,0.298385074434419,59.0870256143345,45.6682724982942,0,307.834435
DHD2,2,8,5,0.555640297973201,0.424686058639154,85.0415611001034,64.9988230440866,0,139.868452
DHD2,2,11,5,0.65202166306838,0.493064219322056,99.7928701368147,75.4642006468973,0,85.17058
DHD2,2,14,5,0.720029041890968,0.529061700405968,110.201499033054,80.9736678295582,0,77.512509
DHD2,2,17,5,0.737895803476047,0.531922856220773,112.936033051808,81.4115719159415,0,71.094699
DHD2,2,20,5,0.744183229849205,0.521836045925729,113.898332863441,79.8677708325065,0,62.623752
DHD2,2,23,5,0.742348873409892,0.50302152435095,113.617581924782,76.9881807597433,0,60.598485
DHD2,2,26,5,0.708753676111146,0.464166572325673,108.475787792548,71.0413734659741,0,61.145672
DHD2,2,29,5,0.694019346406704,0.42648680147473,106.220677059219,65.274429371482,0,64.165933
DHD2,2,32,5,0.672929288449971,0.38653408197374,102.992812811657,59.1596071583483,0,64.118841
DHD2,2,35,5,0.663509416533346,0.351520767641774,101.551087623483,53.80076813796,0,56.378176
DHD3,3,11,5,0.730254040085326,0.574506104447137,111.766449976796,87.9290004017671,0,507.714552
DHD3,3,14,5,0.80217475708343,0.627451217723177,122.774021010192,96.0323275039231,0,265.668783
DHD3,3,17,5,0.851610223576683,0.661198646261857,130.34019153388,101.197420850306,0,210.222222
DHD3,3,20,5,0.869188048146319,0.669280203356811,133.030503319397,102.43431499564,0,162.263984
DHD3,3,23,5,0.89114416758583,0.679357359370179,136.390919544871,103.976638477129,0,147.485308
DHD3,3,26,5,0.889514022783131,0.670101739608863,136.141423496175,102.560052321801,0,143.872524
DHD3,3,29,5,0.893277967676062,0.65734018151402,136.71750077271,100.606877171594,0,138.164823
DHD3,3,32,5,0.876234455458644,0.635416014487496,134.10896627497,97.251351309708,0,134.112266
DHD3,3,35,5,0.858232599288574,0.611539525339422,131.353755832195,93.5970196887861,0,131.804986
DHD4,4,17,5,0.893271975564696,0.704032979156805,136.716583671293,107.753278212263,0,686.422287
DHD4,4,20,5,0.928661111705798,0.728767891963777,142.132942769798,111.53899283097,0,509.750142
DHD4,4,23,5,0.925062022479639,0.720588404096757,141.582096894422,110.287110237595,0,466.308712
DHD4,4,26,5,0.928512883331279,0.7191042745428,142.110256200062,110.059962036495,0,425.861185
DHD4,4,29,5,0.930363037443259,0.713008924155429,142.393424995652,109.127059735699,0,386.173607
DHD4,4,32,5,0.934888106371749,0.705036117382982,143.085993420167,107.906809986443,0,353.493607
DHD4,4,35,5,0.924530442238381,0.695313976538566,141.500737760228,106.418822096327,0,294.573976
