Family,Rails,SeaStateIdx,Hs_m,Tp_s,Probability,BestPressure_MPa,MechRGP,ElecRGP,AveMechPow_kW,AveElecPow_kW,AstarCapHits
DHD2,2,1,1.11845593108019,6.84990059642147,0.150945283585076,10,0.664813016719688,0.465712045517324,30.8652538281414,21.6215990574925,0
DHD2,2,2,1.43904274533414,8.98585189644792,0.166149844953486,10,0.694915519991264,0.514766037815363,54.6454972335057,40.4792313397976,0
DHD2,2,3,2.02192164179104,6.96268656716418,0.214464339301791,15,0.735416188788013,0.534738294414138,112.55652439348,81.8424788534295,0
DHD2,2,5,2.56283602150538,9.10954301075269,0.148844653396019,20,0.759522468218974,0.569428922956229,188.548014869407,141.358152688207,0
DHD2,2,6,2.86731391585761,13.1893203883495,0.0618185455636691,20,0.853118103159896,0.66013377860983,202.192470219344,156.454398140154,0
DHD2,2,7,3.65665236051502,10.8004291845494,0.0932279683905172,25,0.81350545167179,0.623292740050923,374.340938423221,286.813061600942,0
DHD2,2,8,4.99525316455696,12.7246835443038,0.0316094828448535,30,0.857603760004485,0.660120390307828,639.636244899001,492.345005151976,0
DHD3,3,1,1.11845593108019,6.84990059642147,0.150945283585076,10,0.822529749998838,0.606390955334387,38.1875638358873,28.1528945504637,0
DHD3,3,2,1.43904274533414,8.98585189644792,0.166149844953486,15,0.873684515978806,0.671689008535805,68.7032069761182,52.8190532543883,0
DHD3,3,3,2.02192164179104,6.96268656716418,0.214464339301791,25,0.892535337399323,0.675883976913696,136.603840121594,103.445032206896,0
DHD3,3,4,2.2579006772009,10.9695259593679,0.132939881964589,20,0.921703235208081,0.72869292381775,159.871230792779,126.393214378196,0
DHD4,4,1,1.11845593108019,6.84990059642147,0.150945283585076,20,0.863387579086395,0.624076785300912,40.0844690316921,28.9739940436289,0
PassivePump,NaN,1,1.11845593108019,6.84990059642147,0.150945283585076,15,0.717449559259491,0.609086957404413,33.3090089972912,28.2780617570613,0
PassivePump,NaN,2,1.43904274533414,8.98585189644792,0.166149844953486,15,0.63121995845378,0.535171721484855,49.6367220203302,42.0838562163912,0
PassivePump,NaN,3,2.02192164179104,6.96268656716418,0.214464339301791,25,0.677970225061241,0.574879026224316,103.764335540287,87.9860766257472,0
PassivePump,NaN,4,2.2579006772009,10.9695259593679,0.132939881964589,15,0.632454631007109,0.534339012195627,109.700494060729,92.682147872712,0
PassivePump,NaN,5,2.56283602150538,9.10954301075269,0.148844653396019,25,0.597410641248494,0.5053396801364,148.304487599158,125.448288248649,0
PassivePump,NaN,6,2.86731391585761,13.1893203883495,0.0618185455636691,20,0.674659923873065,0.569607268438317,159.897153818013,134.9992459823,0
PassivePump,NaN,7,3.65665236051502,10.8004291845494,0.0932279683905172,30,0.618776940616067,0.522243661052626,284.735080937505,240.314532327058,0
PassivePump,NaN,8,4.99525316455696,12.7246835443038,0.0316094828448535,35,0.675229506741325,0.56685629590375,503.614007166629,422.784798083599,0
