Family,Rails,MAstar,MechRGP,ElecRGP,AveMechPow_kW,AveElecPow_kW,AstarCapHits,ElapsedSec
DHD2,2,2,0.411267067193877,0.310483816316117,62.9450267570681,47.5200026566717,0,53.371151
DHD2,2,3,0.592334912844493,0.449317471724058,90.6577256295742,68.7686968788005,0,71.269558
DHD2,2,4,0.680007918852546,0.504132675638934,104.076207558369,77.1582440911707,0,74.967581
DHD2,2,5,0.737895803476047,0.531922856220773,112.936033051808,81.4115719159415,0,93.523978
DHD2,2,6,0.767541856101727,0.541231252410597,117.473404810012,82.8362355809211,0,103.205633
DHD2,2,7,0.770313546490291,0.542121757698146,117.897616081926,82.972528718941,0,125.756325
DHD2,2,8,0.771009718171269,0.542825391202083,118.004166176942,83.0802208568859,0,157.905421
DHD2,2,10,0.775278117707246,0.544669779016481,118.657450975152,83.3625071121891,0,283.763947
DHD2,2,12,0.775536716739432,0.547293866755931,118.697029935635,83.7641275825554,0,476.841085
DHD3,3,2,0.651341869589586,0.509777627572754,99.6888267496213,78.0222122492365,0,80.844916
DHD3,3,3,0.764786506465455,0.589712606855846,117.051694514161,90.256377858777,0,108.335966
DHD3,3,4,0.870033650907096,0.665101918608044,133.159924059954,101.794822397547,0,142.367317
DHD3,3,5,0.89114416758583,0.679357359370179,136.390919544871,103.976638477129,0,173.702752
DHD3,3,6,0.900036965889987,0.684189180155202,137.751975344986,104.716155722392,0,234.535676
DHD3,3,7,0.905951440646785,0.686889795867678,138.657194365708,105.129488911072,0,293.620242
DHD3,3,8,0.903598194172193,0.687235031409931,138.297026547459,105.182327716263,0,371.80263
DHD3,3,10,0.910854749846039,0.689039542884132,139.407653017433,105.458510839317,0,749.693396
DHD3,3,12,0.912809943549695,0.691275569252308,139.706898276315,105.800737948662,0,1592.52181
DHD4,4,2,0.761431766552548,0.608220588997029,116.538246658923,93.0890516224336,0,141.228978
DHD4,4,3,0.874771818662198,0.691561380901309,133.885107571874,105.844481839989,0,213.141068
DHD4,4,4,0.907464144262114,0.713139251517192,138.888715868736,109.147006529225,0,315.701783
DHD4,4,5,0.928661111705798,0.728767891963777,142.132942769798,111.53899283097,0,578.295792
DHD4,4,6,0.931850375879598,0.728951620811183,142.621064320899,111.567112800057,0,1130.265074
DHD4,4,7,0.931518435792304,0.73075307683669,142.570260404555,111.842828282216,0,2107.394375
DHD4,4,8,0.931491069386951,0.729563704965193,142.56607193615,111.660793175962,0,5386.990667
