Variant,SeaStateIdx,Hs_m,Tp_s,Probability,MechRGP,ElecRGP,AveMechPow_kW,AveElecPow_kW,AveLoss_kW
EHA_fixed_elec,1,1.11845593108019,6.84990059642147,0.150945283585076,0.763154958200086,0.514718740247654,35.4309721721078,23.896831392132,11.5341407799758
EHA_fixed_elec,2,1.43904274533414,8.98585189644792,0.166149844953486,0.776810618792006,0.52776925771966,61.0854144122296,41.5017547931748,19.5836596190548
EHA_fixed_elec,3,2.02192164179104,6.96268656716418,0.214464339301791,0.762820473662542,0.513838533119022,116.750790315269,78.6437397885355,38.1070505267336
EHA_fixed_elec,4,2.2579006772009,10.9695259593679,0.132939881964589,0.800528007604502,0.55047251623732,138.853150310284,95.4805357372869,43.372614572997
EHA_fixed_elec,5,2.56283602150538,9.10954301075269,0.148844653396019,0.778163272207619,0.527067228157064,193.17551008475,130.842053698251,62.3334563864987
EHA_fixed_elec,6,2.86731391585761,13.1893203883495,0.0618185455636691,0.829044200423946,0.576235151063982,196.486857076248,136.570081198953,59.9167758772957
EHA_fixed_elec,7,3.65665236051502,10.8004291845494,0.0932279683905172,0.798468393920509,0.54306569146039,367.421517910216,249.895953553801,117.525564356415
EHA_fixed_elec,8,4.99525316455696,12.7246835443038,0.0316094828448535,0.81548226826758,0.549440044318815,608.220299609772,409.79503954529,198.425260064482
EHA_fixed_mech,1,1.11845593108019,6.84990059642147,0.150945283585076,1.01764268589317,0.0963367840131468,47.2460662118595,4.47262495885568,42.7734412530038
EHA_fixed_mech,2,1.43904274533414,8.98585189644792,0.166149844953486,1.02415802332127,0.124759805004933,80.5358677710618,9.81063364268431,70.7252341283775
EHA_fixed_mech,3,2.02192164179104,6.96268656716418,0.214464339301791,1.01740691941411,0.0908595758061126,155.715618569472,13.9061911017434,141.809427467728
EHA_fixed_mech,4,2.2579006772009,10.9695259593679,0.132939881964589,1.02784387125804,0.171265641144354,178.281531933367,29.7063607855091,148.575171147858
EHA_fixed_mech,5,2.56283602150538,9.10954301075269,0.148844653396019,1.02416750241088,0.112241743880063,254.244946731,27.863504872597,226.381441858403
EHA_fixed_mech,6,2.86731391585761,13.1893203883495,0.0618185455636691,1.02459101048802,0.211887283592127,242.832248674342,50.2181504751508,192.614098199191
EHA_fixed_mech,7,3.65665236051502,10.8004291845494,0.0932279683905172,1.01799406504403,0.146437424559278,468.437983832463,67.3843338322407,401.053650000222
EHA_fixed_mech,8,4.99525316455696,12.7246835443038,0.0316094828448535,0.963780263710181,0.231100950862013,718.827059228525,172.364617899056,546.462441329469
EHA_var_elec,1,1.11845593108019,6.84990059642147,0.150945283585076,0.972902644936622,-0.667276191159047,45.1689216829826,-30.9796115533691,76.1485332363518
EHA_var_elec,2,1.43904274533414,8.98585189644792,0.166149844953486,0.975165118849061,-0.150875735003107,76.6832532463047,-11.8642904389573,88.547543685262
EHA_var_elec,3,2.02192164179104,6.96268656716418,0.214464339301791,0.972181763519805,0.225383339113097,148.793842247135,34.4952500278448,114.29859221929
EHA_var_elec,4,2.2579006772009,10.9695259593679,0.132939881964589,0.980528606147175,0.307654145936615,170.074606559114,53.3632139831687,116.711392575945
EHA_var_elec,5,2.56283602150538,9.10954301075269,0.148844653396019,0.975594850070113,0.423264250614859,242.18700564432,105.073434372201,137.113571272118
EHA_var_elec,6,2.86731391585761,13.1893203883495,0.0618185455636691,0.986269138299136,0.442206710671345,233.749808655075,104.804794139332,128.945014515743
EHA_var_elec,7,3.65665236051502,10.8004291845494,0.0932279683905172,0.980210273161599,0.585867497256302,451.051474520953,269.591541475091,181.459933045862
EHA_var_elec,8,4.99525316455696,12.7246835443038,0.0316094828448535,0.985334923340183,0.674055202536456,734.903413121537,502.738162671768,232.165250449769
EHA_var_mech,1,1.11845593108019,6.84990059642147,0.150945283585076,1.01123457650344,-0.79983366945783,46.9485571109567,-37.133853590774,84.0824107017308
EHA_var_mech,2,1.43904274533414,8.98585189644792,0.166149844953486,1.01866397750191,-0.246975347174001,80.1038370320934,-19.4211961921798,99.5250332242732
EHA_var_mech,3,2.02192164179104,6.96268656716418,0.214464339301791,1.01100947740486,0.160228117105592,154.736480703666,24.523147907906,130.21333279576
EHA_var_mech,4,2.2579006772009,10.9695259593679,0.132939881964589,1.02508498990487,0.254590073406655,177.802998560916,44.159146706214,133.643851854702
EHA_var_mech,5,2.56283602150538,9.10954301075269,0.148844653396019,1.01925394104226,0.377241092928943,253.025177361746,93.6483937936791,159.376783568066
EHA_var_mech,6,2.86731391585761,13.1893203883495,0.0618185455636691,1.02857313627531,0.40691169845758,243.776028728562,96.4397322803811,147.336296448181
EHA_var_mech,7,3.65665236051502,10.8004291845494,0.0932279683905172,1.02490806756162,0.556690517144184,471.619516525792,256.165524362261,215.453992163531
EHA_var_mech,8,4.99525316455696,12.7246835443038,0.0316094828448535,1.00782821157514,0.64951191392521,751.679834929628,484.4327660575,267.247068872128
